series,submodel,bandai,special_formation,special_livery,operator_en,fine_grained_series,
,E233-2000,,,,,E233-2000(貫通型),
E257系,E257-5500,,,,,E257系-5000・5500番台,
E257系,E257-5000,,,,,E257系-5000・5500番台,
E257系,E257-2500,,,,,E257系-2000・2500番台,
E257系,E257-2000,,,,,E257系-2000・2500番台,
E257系,E257-500,,,,,E257系-500番台,
E257系,E257-0,,,,,E257系-0番台,
キハ40系,,,Resort Shirakami,,,キハ40系(Resort Shirakami),
キハ40系,,,Resort Minori,,,キハ40系(Resort Minori),
キハ40系,Kiha 140,,,,,キハ40/41系,
キハ40系,,,Cruis,,,キハ40系(Akita Cruise Train),
キハ40系,,,Iyonada Monogatari,,,キハ40系(Iyonada Monogatari),
キハ40系,,,EtSETOra,,,キハ40系(EtSETOra),
キハ40系,,,Koshino Shu*Kura,,,キハ40系(Koshino Shu*Kura),
キハ40系,,,Umineko,,,キハ40系(Resort Umineko),
キハ40系,,,4047,,,キハ40系(ふたつ星4047),
キハ40系,,,Aru　Ressha,,,キハ40系(或る列車),

キハ40系,Kiha 40,,,,,キハ40/41系,
キハ40系,Kiha 41,,,,,キハ40/41系,
キハ40系,Kiha 147,,,,,キハ47/48系,
キハ40系,Kiha 47,,,,,キハ47/48系,
キハ40系,Kiha 48,,,,,キハ47/48系,

485系,183,,,,,485系,
485系,489,,,,,485系,
489系,,,,,,485系,
485系,,,Resort Express Yū,,,485系(Resort Express Yū),
485系,,,Kirakira Uetsu,,,485系(Kirakira Uetsu),
485系,,,New Nanohana,,,485系(New Nanohana),
485系,,,Hana,,,485系(Hana),
485系,,,Resort Yamadori,,,485系(Resort Yamadori),
485系,,,Utage,,,485系(Utage),
485系,,,Nodoka,,,485系(Nodoka),
485系,,,zipangu,,,485系(zipangu),
485系,485-3000,,,,,485系-3000番台,
E231系,10-300,,,,,Toei Subway 10-300 series,
E231系,5050,,,,,Tokyu Railway 5000 series,
E231系,5080,,,,,Tokyu Railway 5000 series,
E231系,,,,,Tokyu,Tokyu Railway 5000 series,
E231系,,800,,,,E231系-800番台,
E231系,,500,,,,E231系-500番台,
E235系,,1000,,,,E235系-1000番台,

113系,,3800,,,,113系-3800番台,
113系,,2000,,,,113系-2000番台,
115系,,,,しなの鉄道,shinano,115系(しなの鉄道色),
115系,,,,しなの鉄道色,shinano,115系(しなの鉄道色),

113系,,,,,,113/115系,
115系,,,,,,113/115系,
E129系,SR1,,,,,SR1,
205系,,,,,KAI,205系(KAI Commuter Indonesia),
209系,,1000,,,,209系-1000番台,
209系,,500,,,,209系-500番台,
205系,,500,,,,205系-500番台,

165系,2000,,,,fuji,165系(富士急行2000系Panorama Express),
167系,,,,,,165系,
169系,,,,,,165系,
103系,,,,,Kyushu,103系(JR九州)
189系,,,,,,183系


700,,7000,,,700系-7000番台(レールスター),
117系,,,銀河,,,117系(West Express 銀河),
キハ141系,,,銀河,,キハ141系(SL銀河),
