submodel,bandai,operator_en,operator_jp,special_formation,special_livery,category_path_json,category_path
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives (Hokkaido)""]","['C57 steam locomotives', 'C57 steam locomotives (Hokkaido)']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 100 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 100 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 11 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 11 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 110 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 110 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 119 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 119 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 124 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 124 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 128 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 128 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 129 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 129 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 135 steam locomotive"", ""C57 135 steam locomotive at the Railway Museum (Japan)""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 135 steam locomotive', 'C57 135 steam locomotive at the Railway Museum (Japan)']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 135 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 135 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 139 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 139 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 144 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 144 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 148 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 148 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 151 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 151 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 155 steam locomotive"", ""From Steam Locomotives to Shinkansen""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 155 steam locomotive', 'From Steam Locomotives to Shinkansen']"
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 156 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 156 steam locomotive']"
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 160 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 160 steam locomotive']"
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 165 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 165 steam locomotive']"
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 175 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 175 steam locomotive']"
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 186 steam locomotive"", ""C57 186 steam locomotive at Koganei Park""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 186 steam locomotive', 'C57 186 steam locomotive at Koganei Park']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 189 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 189 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 19 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 19 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 201 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 201 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 26 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 26 steam locomotive']"
,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 38 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 38 steam locomotive']"
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 43 steam locomotive"", ""Wheels of C57 43 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 43 steam locomotive', 'Wheels of C57 43 steam locomotive']"
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 44 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 44 steam locomotive']"
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 5 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 5 steam locomotive']"
C57,,,,,,"[""C57 steam locomotives"", ""C57 steam locomotives by number"", ""C57 56 steam locomotive""]","['C57 steam locomotives', 'C57 steam locomotives by number', 'C57 56 steam locomotive']"
